serious_assault_result_injury, dang_negli_acts, assault_police, prop_dam_by_fire_expl, POSTCODE, theft_from_motor_veh, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, murder, other_acts_intend_cause_injury, serious_assault_not_result_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_hom_rel_offences, other_fraud_decep_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
3,0,0,0,"5031",14,0,1,0,273,0,9,4,13,0,0,0,4,0,2,4,0,0,2,"Apr 2019",81,2,13,0,10
0,0,0,1,"5556",4,0,0,0,2739,0,5,0,1,0,0,0,0,1,1,1,0,0,0,"Apr 2019",21,1,5,0,1
0,0,0,1,"5558",0,0,0,1,2751,0,1,0,0,0,0,0,0,0,1,3,1,0,0,"Apr 2019",13,2,3,0,0
0,0,0,0,"5560",0,0,0,0,2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5570",0,0,0,0,2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5572",0,0,0,0,2786,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",2,0,0,0,0
2,0,0,0,"5573",0,0,0,0,2796,0,0,1,0,0,0,0,2,0,1,0,0,0,0,"Apr 2019",11,0,2,0,3
0,0,0,0,"5575",2,0,0,0,2807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",5,0,0,0,3
1,0,0,0,"5576",0,0,0,0,2817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5577",0,0,0,0,2824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5582",1,0,0,0,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5583",0,0,0,0,2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",5,1,3,0,1
1,0,0,1,"5032",12,0,0,0,285,0,2,0,1,0,0,0,1,0,0,3,0,0,1,"Apr 2019",38,2,8,0,6
0,0,1,1,"5600",0,0,1,0,2859,1,0,0,0,0,0,0,2,0,1,1,0,0,0,"Apr 2019",15,1,2,0,4
0,0,0,0,"5601",0,0,0,0,2869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",3,0,2,0,1
0,0,0,1,"5602",0,0,0,0,2878,0,2,0,0,0,0,0,0,0,0,2,0,0,0,"Apr 2019",5,0,0,0,0
0,0,0,0,"5605",0,0,0,0,2893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
3,0,0,1,"5606",14,0,3,0,2903,1,8,7,6,3,0,0,4,1,2,5,0,0,0,"Apr 2019",100,2,16,0,24
0,0,0,0,"5607",1,0,0,0,2915,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",4,0,0,0,2
2,1,0,3,"5608",5,0,2,0,2927,4,17,7,15,0,0,0,10,1,7,3,2,0,0,"Apr 2019",157,6,17,0,55
0,0,0,0,"5609",0,0,0,0,2939,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",2,0,0,0,1
0,0,0,0,"5631",0,0,0,0,2952,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Apr 2019",2,0,1,0,0
0,0,0,0,"5633",0,0,0,0,2960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5640",0,0,0,0,2966,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Apr 2019",3,0,0,0,1
1,1,0,0,"5033",9,0,0,0,297,0,4,2,6,0,0,0,3,0,0,1,0,0,0,"Apr 2019",52,3,16,0,6
0,0,0,0,"5642",0,0,0,0,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5653",0,0,0,0,2992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5654",1,0,0,0,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",2,0,1,0,0
0,0,0,0,"5655",0,0,0,0,2995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",2,0,2,0,0
